"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Chargois, JT","608638","R","SI","354","96.3","2258","20.2",0.9589747173458021,0.9507124645735566,124.63613634517489,108.57616850409613,"Sinker","95","105","150",16.05996784107876,16.059967841078787,"-45",1,45,2,30,0,45,"1:45","2:30","-0H 45M"
,"Speier, Gabe","642100","L","SI","356","94.4","1999","19.4",0.9619586852205546,0.922150007579649,228.04872059668466,253.21828820355478,"Sinker","92","630","570",-25.169567606870118,25.16956760687014,"60",10,30,9,30,1,0,"10:30","9:30","+1H 00M"
,"Kremer, Dean","665152","R","SI","419","91.9","2001","18.9",0.9292323456588618,0.9474894773007622,137.96813818858266,117.71229698699587,"Sinker","95","90","120",20.25584120158679,20.25584120158679,"-30",1,30,2,0,0,30,"1:30","2:00","-0H 30M"
,"Bard, Daniel","453268","R","SI","345","94.9","2489","15.1",0.7415843100505283,0.6916572305403901,149.61181515765847,117.15679388684407,"Sinker","69","60","120",32.4550212708144,32.455021270814406,"-60",1,0,2,0,1,0,"1:00","2:00","-1H 00M"
,"Holmes, Clay","605280","R","SI","647","96","2142","16.4",0.7973391253093298,0.7442886679209445,135.7949731604625,98.02904618335796,"Sinker","74","90","165",37.76592697710453,37.76592697710452,"-75",1,30,2,45,1,15,"1:30","2:45","-1H 15M"
,"Elder, Bryce","693821","R","SI","1050","89.5","1970","15.7",0.7894538552888138,0.7503255372755571,152.44849421091237,117.75343684146024,"Sinker","75","60","120",34.69505736945213,34.69505736945211,"-60",1,0,2,0,1,0,"1:00","2:00","-1H 00M"
,"Manoah, Alek","666201","R","SI","469","92.6","2224","18.4",0.8581059302419918,0.8271991740639083,146.29060433072294,122.1066538651547,"Sinker","83","60","120",24.183950465568245,24.183950465568234,"-60",1,0,2,0,1,0,"1:00","2:00","-1H 00M"
,"Eflin, Zach","621107","R","SI","796","92.2","2100","18.2",0.8723568752455597,0.7795228105588319,137.7450727486933,105.37577345264094,"Sinker","78","90","150",32.36929929605236,32.369299296052354,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Llovera, Mauricio","661440","R","SI","386","94.5","2081","18.1",0.8845934878476372,0.8327719409401687,137.54122430659584,109.2561924830515,"Sinker","83","90","135",28.28503182354433,28.285031823544323,"-45",1,30,2,15,0,45,"1:30","2:15","-0H 45M"
,"Graveman, Kendall","608665","R","SI","426","96","2265","19.6",0.9345898253337924,0.9362190491029289,139.87035830316435,119.16928346941422,"Sinker","94","75","120",20.701074833750127,20.70107483375013,"-45",1,15,2,0,0,45,"1:15","2:00","-0H 45M"
,"Whitlock, Garrett","676477","R","SI","620","94","2074","20.1",0.9769129165373208,0.9930781764499276,129.53865361397135,126.90077757773165,"Sinker","99","105","105",2.637876036239703,2.6378760362397107,"0",1,45,1,45,0,0,"1:45","1:45"," 0H 00M"
,"Graterol, Brusdar","660813","R","SI","400","98.6","2010","18.7",0.9568116482778254,0.9040712263518152,139.02376002424467,111.11714434890304,"Sinker","90","75","135",27.906615675341627,27.90661567534162,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Toussaint, Touki","657053","R","SI","417","92.9","2209","17.7",0.8490559348992052,0.787676669679085,139.8907986450822,110.80510259839669,"Sinker","79","75","135",29.085696046685527,29.08569604668553,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Alexander, Scott","518397","L","SI","437","92.7","2218","14.6",0.6964834798855881,0.742118805783674,222.84890266931544,259.3349324854315,"Sinker","74","630","555",-36.48602981611609,36.4860298161161,"75",10,30,9,15,1,15,"10:30","9:15","+1H 15M"
,"Alcantara, Sandy","645261","R","SI","788","97.6","2329","19.5",0.9304478496739058,0.9322216279010138,130.5085337883291,109.2424328036901,"Sinker","93","105","135",21.266100984638996,21.26610098463899,"-30",1,45,2,15,0,30,"1:45","2:15","-0H 30M"
,"Lawrence, Justin","664875","R","SI","581","95.4","2308","16.3",0.849361715503743,0.8271981756115769,106.02133166509984,82.446503625896,"Sinker","83","150","195",23.574828039203837,23.574828039203844,"-45",2,30,3,15,0,45,"2:30","3:15","-0H 45M"
,"Winckowski, Josh","670174","R","SI","507","96.3","2053","17.5",0.864684568131646,0.8148129665215192,153.8849463945677,121.7180931652034,"Sinker","81","765","120",32.16685322936429,32.16685322936431,"-75",12,45,2,0,1,15,"12:45","2:00","-1H 15M"
,"Holderman, Colin","670059","R","SI","452","97.9","2217","17.7",0.870714616754948,0.825085526415134,141.11977469575586,113.72420608644616,"Sinker","83","75","135",27.395568609309706,27.39556860930972,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Garrett, Braxton","666129","L","SI","745","90.5","2077","17.7",0.8477080892390454,0.7830342270617265,216.47936575718575,249.19590431895807,"Sinker","78","645","585",-32.716538561772325,32.716538561772346,"60",10,45,9,45,1,0,"10:45","9:45","+1H 00M"
,"Wainwright, Adam","425794","R","SI","531","86.9","2167","17.2",0.8127576659399732,0.8341946260107185,153.17845400484907,126.0148728206063,"Sinker","83","60","105",27.163581184242773,27.163581184242794,"-45",1,0,1,45,0,45,"1:00","1:45","-0H 45M"
,"Chirinos, Yonny","630023","R","SI","620","92.4","2030","19",0.9368626514130697,0.8967106407545569,134.95027499891978,108.63405552655153,"Sinker","90","90","150",26.316219472368246,26.316219472368253,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Ramírez, Yohan","670990","R","SI","486","95.1","2165","18.7",0.9199035182222521,0.8614602382402146,122.75925449562172,95.10091305449487,"Sinker","86","120","165",27.65834144112685,27.65834144112684,"-45",2,0,2,45,0,45,"2:00","2:45","-0H 45M"
,"Walker, Taijuan","592836","R","SI","661","92.4","1964","19.3",0.9608235318369729,0.9515805956254582,143.59657933011943,123.14670525527713,"Sinker","95","75","120",20.4498740748423,20.449874074842306,"-45",1,15,2,0,0,45,"1:15","2:00","-0H 45M"
,"Yarbrough, Ryan","642232","L","SI","430","87.1","1875","17.4",0.8861293503029886,0.9733528196591319,239.26913990818244,234.12485399602076,"Sinker","97","600","615",5.144285912161678,5.144285912161665,"-15",10,0,10,15,0,15,"10:00","10:15","-0H 15M"
,"Suárez, Ranger","624133","L","SI","544","92.8","1929","17.4",0.8836149576302197,0.8146626589370956,220.99353471752733,253.67430542299553,"Sinker","81","645","570",-32.680770705468206,32.68077070546822,"75",10,45,9,30,1,15,"10:45","9:30","+1H 15M"
,"Blackburn, Paul","621112","R","SI","452","91.7","2008","16.2",0.801987175058837,0.8702521829653428,153.99194401163737,123.98506542299444,"Sinker","87","765","105",30.006878588642934,30.006878588642923,"-60",12,45,1,45,1,0,"12:45","1:45","-1H 00M"
,"Corbin, Patrick","571578","L","SI","1134","92.1","2041","18",0.8774631644481937,0.8580556593670775,215.15801840614907,238.1372618509403,"Sinker","86","645","600",-22.979243444791223,22.979243444791216,"45",10,45,10,0,0,45,"10:45","10:00","+0H 45M"
